Transaction_Number,Office_FilerType,Date_Received_Filed,Transaction_Date,Ticker,Asset_Name,Transaction_Type,Amount
6256,"Perdue, David (Senator)",02-02-2016,13-01-2016,LYV,"Live Nation Entertainment, Inc.",Purchase,8000.5
6257,"Perdue, David (Senator)",02-02-2016,13-01-2016,GE,General Electric Company,Sale (Partial),8000.5
6258,"Perdue, David (Senator)",02-02-2016,13-01-2016,PFE,Pfizer Inc.,Sale (Partial),8000.5
6259,"Perdue, David (Senator)",02-02-2016,13-01-2016,GE,General Electric Company,Sale (Partial),8000.5
6260,"Perdue, David (Senator)",04-05-2018,11-01-2016,--,GE,Sale (Partial),8000.5
6261,"Perdue, David (Senator)",04-05-2018,11-01-2016,--,LYV,Purchase,8000.5
6262,"Perdue, David (Senator)",02-02-2016,11-01-2016,--,GE,Sale (Partial),8000.5
6263,"Perdue, David (Senator)",02-02-2016,11-01-2016,--,LYV,Purchase,8000.5
6264,"Perdue, David (Senator)",04-05-2018,08-01-2016,--,GE,Sale (Partial),8000.5
6265,"Perdue, David (Senator)",04-05-2018,08-01-2016,--,LYV,Purchase,8000.5
6266,"Perdue, David (Senator)",02-02-2016,08-01-2016,--,GE,Sale (Partial),8000.5
6267,"Perdue, David (Senator)",02-02-2016,08-01-2016,--,LYV,Purchase,8000.5
6268,"Perdue, David (Senator)",04-05-2018,07-01-2016,--,QCOM,Purchase,8000.5
6269,"Perdue, David (Senator)",04-05-2018,07-01-2016,--,WBA,Purchase,8000.5
6270,"Perdue, David (Senator)",04-05-2018,07-01-2016,--,CRMT,Purchase,8000.5
6271,"Perdue, David (Senator)",04-05-2018,07-01-2016,ABBV,AbbVie Inc.,Purchase,8000.5
6272,"Perdue, David (Senator)",02-02-2016,07-01-2016,--,QCOM,Purchase,8000.5
6273,"Perdue, David (Senator)",02-02-2016,07-01-2016,--,WBA,Purchase,8000.5
6274,"Perdue, David (Senator)",02-02-2016,07-01-2016,--,CRMT,Purchase,8000.5
6275,"Perdue, David (Senator)",02-02-2016,07-01-2016,--,ACN,Purchase,8000.5
6276,"Hoeven, John (Senator)",12-01-2016,06-01-2016,UA,"Under Armour, Inc. (NYSE)",Purchase,75000.5
6277,"Perdue, David (Senator)",04-05-2018,06-01-2016,--,GE,Sale (Partial),32500.5
6278,"Perdue, David (Senator)",02-02-2016,06-01-2016,--,GE,Sale (Partial),32500.5
6279,"Whitehouse, Sheldon (Senator)",20-01-2016,06-01-2016,LMT,Lockheed Martin Corporation,Purchase,32500.5
6280,"Whitehouse, Sheldon (Senator)",20-01-2016,06-01-2016,MSFT,Microsoft Corporation,Purchase,8000.5
6281,"Whitehouse, Sheldon (Senator)",20-01-2016,06-01-2016,NVDA,NVIDIA Corporation,Purchase,8000.5
6282,"Whitehouse, Sheldon (Senator)",20-01-2016,06-01-2016,VZ,Verizon Communications Inc.,Purchase,8000.5
6283,"Whitehouse, Sheldon (Senator)",20-01-2016,06-01-2016,UA,"Under Armour, Inc.",Purchase,8000.5
6284,"Whitehouse, Sheldon (Senator)",11-08-2016,06-01-2016,LMT,Lockheed Martin Corporation,Purchase,32500.5
6285,"Whitehouse, Sheldon (Senator)",11-08-2016,06-01-2016,MSFT,Microsoft Corporation,Purchase,8000.5
6286,"Whitehouse, Sheldon (Senator)",11-08-2016,06-01-2016,NVDA,NVIDIA Corporation,Purchase,8000.5
6287,"Whitehouse, Sheldon (Senator)",11-08-2016,06-01-2016,VZ,Verizon Communications Inc.,Purchase,8000.5
6288,"Whitehouse, Sheldon (Senator)",11-08-2016,06-01-2016,UA,"Under Armour, Inc.",Purchase,8000.5
6289,"Cassidy, Bill (Senator)",12-01-2016,05-01-2016,INTC,Intel Corporation (NASDAQ),Sale (Full),8000.5
6290,"Cassidy, Bill (Senator)",12-01-2016,05-01-2016,CMI,Cummins Inc. (NYSE),Purchase,8000.5
6291,"Cassidy, Bill (Senator)",12-01-2016,05-01-2016,AAPL,Apple Inc. (NASDAQ),Purchase,8000.5
6292,"Whitehouse, Sheldon (Senator)",20-01-2016,05-01-2016,GILD,Gilead Sciences Inc.,Purchase,8000.5
6293,"Whitehouse, Sheldon (Senator)",20-01-2016,05-01-2016,GME,GameStop Corp.,Sale (Full),8000.5
6294,"Whitehouse, Sheldon (Senator)",20-01-2016,05-01-2016,NVDA,NVIDIA Corporation,Purchase,8000.5
6295,"Whitehouse, Sheldon (Senator)",20-01-2016,05-01-2016,CSCO,"Cisco Systems, Inc.",Purchase,8000.5
6296,"Whitehouse, Sheldon (Senator)",20-01-2016,05-01-2016,WMT,Wal-Mart Stores Inc.,Purchase,8000.5
