Transaction_Number,Office_FilerType,Date_Received_Filed,Transaction_Date,Ticker,Asset_Name,Transaction_Type,Amount
6455,"Perdue, David (Senator)",18-12-2015,25-11-2015,--,PSX,Sale (Full),32500.5
6456,"Peters, Gary (Senator)",16-12-2015,25-11-2015,--,BBT - BB&T CORP,Purchase,8000.5
6457,"Peters, Gary (Senator)",16-12-2015,25-11-2015,--,UTX - UNTD TECHNOLOGIES CORP,Purchase,8000.5
6458,"Peters, Gary (Senator)",16-12-2015,25-11-2015,--,JWN- NORDSTROM INC,Purchase,8000.5
6459,"Whitehouse, Sheldon (Senator)",16-06-2016,25-11-2015,--,BIIB,Purchase,8000.5
6460,"Whitehouse, Sheldon (Senator)",16-06-2016,25-11-2015,--,NFLX,Purchase,8000.5
6461,"Whitehouse, Sheldon (Senator)",16-06-2016,25-11-2015,--,PEP,Purchase,8000.5
6462,"Whitehouse, Sheldon (Senator)",16-06-2016,25-11-2015,--,TJX,Purchase,8000.5
6463,"Whitehouse, Sheldon (Senator)",16-06-2016,25-11-2015,--,GPRO,Sale (Full),8000.5
6464,"Whitehouse, Sheldon (Senator)",16-06-2016,25-11-2015,--,BIIB,Purchase,8000.5
6465,"Whitehouse, Sheldon (Senator)",16-12-2015,25-11-2015,--,BIIB,Purchase,8000.5
6466,"Whitehouse, Sheldon (Senator)",16-12-2015,25-11-2015,--,NFLX,Purchase,8000.5
6467,"Whitehouse, Sheldon (Senator)",16-12-2015,25-11-2015,--,PEP,Purchase,8000.5
6468,"Whitehouse, Sheldon (Senator)",16-12-2015,25-11-2015,--,TJX,Purchase,8000.5
6469,"Whitehouse, Sheldon (Senator)",16-12-2015,25-11-2015,--,GPRO,Sale (Full),8000.5
6470,"Whitehouse, Sheldon (Senator)",16-12-2015,25-11-2015,--,BIIB,Purchase,8000.5
6471,"Perdue, David (Senator)",12-08-2016,24-11-2015,--,WFM,Purchase,8000.5
6472,"Perdue, David (Senator)",18-12-2015,24-11-2015,--,WFM,Purchase,8000.5
6473,"Capito, Shelley Moore (Senator)",30-11-2015,23-11-2015,--,AMGEN INC (AMGN),Purchase,8000.5
6474,"Perdue, David (Senator)",12-08-2016,23-11-2015,--,WFM,Purchase,8000.5
6475,"Perdue, David (Senator)",18-12-2015,23-11-2015,--,WFM,Purchase,8000.5
6476,"Whitehouse, Sheldon (Senator)",16-06-2016,23-11-2015,CERN,Cerner Corporation,Purchase,8000.5
6477,"Perdue, David (Senator)",12-08-2016,20-11-2015,--,LNT,Sale (Partial),75000.5
